epoch,d_train_loss,d_valid_loss,g_train_loss,g_valid_loss
0,-7975.790608666837,44252.413895401194
1,-2798.1891016960144,7845.050804659724
2,-1353.3075637817383,723.2512678317726
3,-1310.8082913160324,569.0944861732423
4,-893.3837713003159,-6309.4842301905155
5,-558.5611565113068,-9451.88534116745
6,-428.56200566887856,-7528.082908153534
7,-352.74109104275703,-5907.702530622482
8,-321.4253765940666,-5599.713834777474
9,-277.3834514170885,-3089.1488915178925
10,-246.74382330477238,-3916.9849085584283
11,-194.831439755857,-3459.7935014739633
12,-186.18525078892708,-3776.3328817412257
13,-109.97741696983576,600.7669315412641
14,-91.99871427193284,-711.4911412745714
15,-111.22160378471017,1229.7724650204182
16,-104.27894466929138,4256.868963360786
17,-81.73763479664922,-4596.397647686303
18,-115.18616849556565,2292.727878831327
19,-80.23193967156112,-1774.4385800361633
